year,province,inpatient_discharges,avg_inpatient_cost,total_expenditure,population,pilot_population,exposure,gdp_per_capita,elderly_population,aging_rate,physicians_per_1000,beds_per_1000
2023,Beijing,"4,442,583","24,849.90","110,397,743,292 ",2186,,100.00%,216722,3650,16.70%,5.56,6.35
2023,Tianjin,"2,142,032","17,960.90","38,472,822,549 ",1364,,100.00%,126232,2572,18.86%,4.14,5.32
2023,Hebei,"12,906,390","9,984.70","128,866,432,233 ",7393,,70.00%,61649,12640,17.10%,3.92,7.22
2023,Shanxi,"5,237,023","8,901.20","46,615,789,128 ",3466,,70.00%,74999,5549,16.01%,3.42,6.7
2023,Inner_Mongolia,"4,063,862","8,410.30","34,178,298,579 ",2396,,70.00%,104317,3899,16.27%,3.87,7.23
2023,Liaoning,"7,792,884","10,499.30","81,819,826,981 ",4182,,70.00%,74925,9273,22.17%,3.3,7.99
2023,Jilin,"4,181,032","11,390.50","47,624,044,996 ",2339,,70.00%,59495,4594,19.64%,3.95,7.85
2023,Heilongjiang,"6,718,909","9,570.20","64,301,302,912 ",3062,,70.00%,53468,6065,19.81%,3.39,8.93
2023,Shanghai,"5,307,530","24,761.40","131,421,873,342 ",2487,,100.00%,207193,5123,20.60%,3.58,7.04
2023,Jiangsu,"17,089,364","12,170.70","207,989,522,435 ",8526,,70.00%,153658,16569,19.43%,3.4,6.79
2023,Zhejiang,"13,241,901","11,774.20","155,912,790,754 ",6627,,70.00%,129687,10756,16.23%,4.01,6.13
2023,Anhui,"11,647,240","8,094.20","94,275,090,008 ",6121,,70.00%,78752,10228,16.71%,3.28,7.41
2023,Fujian,"6,723,366","10,287.20","69,164,610,715 ",4183,,70.00%,130932,5561,13.29%,2.95,5.79
2023,Jiangxi,"9,451,376","8,922.80","84,332,737,773 ",4515,,70.00%,72271,6411,14.20%,2.99,7.55
2023,Shandong,"23,359,307","10,208.00","238,451,805,856 ",10123,,70.00%,92878,18577,18.35%,3.67,7.3
2023,Henan,"22,904,975","9,009.60","206,364,662,760 ",9815,,70.00%,61592,15389,15.68%,3.53,7.92
2023,Hubei,"14,940,433","10,105.60","150,982,039,725 ",5838,,70.00%,97234,10418,17.85%,3.26,8.16
2023,Hunan,"16,045,863","8,589.00","137,817,917,307 ",6568,,70.00%,76932,11386,17.34%,3.34,8.13
2023,Guangdong,"20,200,370","13,078.70","264,194,579,119 ",12706,,70.00%,108745,13330,10.49%,2.82,4.95
2023,Guangxi,"13,036,783","9,007.10","117,423,608,159 ",5027,,70.00%,54599,7310,14.54%,2.89,7.2
2023,Hainan,"1,458,260","11,717.10","17,086,578,246 ",1043,,70.00%,73335,1284,12.31%,3.02,5.84
2023,Chongqing,"8,374,475","9,429.90","78,970,461,803 ",3191,,100.00%,95610,6353,19.91%,3.2,8.01
2023,Sichuan,"22,600,206","8,602.70","194,422,792,156 ",8368,,70.00%,73293,16268,19.44%,3.34,8.47
2023,Guizhou,"10,372,598","6,436.20","66,760,115,248 ",3865,,70.00%,55728,5216,13.50%,3.26,8.16
2023,Yunnan,"11,581,492","6,908.70","80,013,053,780 ",4673,,70.00%,65334,5880,12.58%,3.14,7.7
2023,Tibet,"353,729","8,422.60","2,979,317,875 ",365,,70.00%,69489,234,6.41%,3.37,5.9
2023,Shaanxi,"9,406,685","9,154.30","86,111,616,496 ",3952,,70.00%,85929,6338,16.04%,3.37,7.75
2023,Gansu,"5,872,147","7,348.40","43,150,885,015 ",2465,,70.00%,49811,3542,14.37%,3.17,8.27
2023,Qinghai,"1,190,630","9,709.20","11,560,064,796 ",594,,70.00%,64747,654,11.01%,3.64,7.7
2023,Ningxia,"1,409,756","7,990.30","11,264,373,367 ",729,,70.00%,73696,806,11.06%,3.33,5.97
2023,Xinjiang,"7,209,253","7,986.80","57,578,861,860 ",2598,,70.00%,75616,2376,9.15%,3.02,7.6
2022,Beijing,"3,271,972","25,927.2","84,833,072,438",2184,,100.00%,206826,3382,15.49%,5.26,6.13
2022,Tianjin,"1,561,728","19,870.1","31,031,691,533",1363,,100.00%,121261,2374,17.42%,3.86,5.03
2022,Hebei,"8,774,515","10,860.9","95,299,129,964",7420,,40.00%,58109,11885,16.02%,3.54,6.55
2022,Shanxi,"3,856,440","9,582.2","36,953,179,368",3481,,40.00%,73705,5163,14.83%,3.26,6.56
2022,Inner_Mongolia,"2,726,377","8,903.7","24,274,842,895",2401,,40.00%,99128,3613,15.05%,3.58,6.98
2022,Liaoning,"5,699,464","11,567.4","65,927,979,874",4197,,40.00%,70590,8605,20.50%,3.18,7.77
2022,Jilin,"2,902,965","12,471.5","36,204,327,998",2348,,40.00%,55564,4269,18.18%,3.69,7.55
2022,Heilongjiang,"4,400,853","10,609.1","46,689,089,562",3099,,40.00%,52568,5657,18.25%,3.17,8.43
2022,Shanghai,"3,492,118","25,268.3","88,239,885,259",2475,,100.00%,195788,4732,19.12%,3.48,6.68
2022,Jiangsu,"11,941,381","12,841.8","153,348,826,526",8515,,40.00%,146374,15586,18.30%,3.28,6.61
2022,Zhejiang,"10,450,486","12,208.8","127,587,893,477",6577,,40.00%,123153,10046,15.27%,3.75,5.8
2022,Anhui,"8,334,525","8,687.9","72,409,519,748",6127,,40.00%,74387,9912,16.18%,3.04,7.25
2022,Fujian,"4,913,905","10,874.9","53,438,225,485",4188,,40.00%,124417,5231,12.49%,2.77,5.55
2022,Jiangxi,"6,167,528","9,346.0","57,641,716,688",4528,,40.00%,69802,6044,13.35%,2.5,6.95
2022,Shandong,"14,738,569","11,083.3","163,351,981,798",10163,,40.00%,88053,17407,17.13%,3.44,6.83
2022,Henan,"14,654,217","9,450.2","138,485,281,493",9872,,40.00%,59537,14712,14.90%,3.2,7.62
2022,Hubei,"9,193,691","10,747.5","98,809,194,023",5844,,40.00%,91563,9753,16.69%,3.03,7.71
2022,Hunan,"10,263,405","9,073.1","93,120,899,906",6604,,40.00%,72521,10904,16.51%,3.01,8.24
2022,Guangdong,"14,381,519","13,856.6","199,278,956,175",12657,,40.00%,104611,12440,9.83%,2.63,4.81
2022,Guangxi,"7,234,731","9,399.8","68,005,024,454",5047,,40.00%,52399,6790,13.45%,2.75,6.77
2022,Hainan,"1,070,316","12,779.0","13,677,568,164",1027,,40.00%,67541,1187,11.56%,2.98,5.96
2022,Chongqing,"5,030,664","9,766.8","49,133,489,155",3213,,100.00%,89562,6024,18.75%,2.94,7.81
2022,Sichuan,"13,724,478","9,237.5","126,779,865,525",8374,,40.00%,68804,15546,18.56%,3.08,8.17
2022,Guizhou,"6,782,084","6,757.6","45,830,610,838",3856,,40.00%,53398,4789,12.42%,2.84,8.03
2022,Yunnan,"7,988,409","7,346.0","58,682,852,514",4693,,40.00%,62456,5608,11.95%,2.82,7.27
2022,Tibet,"286,073","9,290.8","2,657,847,028",364,,40.00%,61244,220,6.04%,3.04,5.49
